TICKER,NAME,RETURN,RISK,MKTCAP,TURNOVER_RATIO,AMIHUD_ILLIQUIDITY,VOLUME
CANN,CannabisCoin,0.011436163,0.155217391,1643340.981,0.080924242,4.29E-05,237495.5785
FLDC,FoldingCoin,0.011200258,0.110706615,5674389.796,0.073753403,1.94E-06,560763.5785
UNITY,SuperNET,0.011171898,0.230150941,18200140.57,0.001521313,0.003923357,7410.022727
LTC,Litecoin,0.011123222,0.080255551,2578388289,0.115120031,7.55E-10,330311736.3
TRC,Terracoin,0.011088911,0.197774034,1723996.231,0.024664202,4.61E-05,11614.2562
XJO,Joulecoin,0.011085842,0.176504034,151403.7851,0.005477021,0.004025032,808.4049587
SPR,SpreadCoin,0.011054177,0.143382263,5588868.515,0.036695635,0.000350399,199136.1818
WAVES,Waves,0.011007294,0.08370433,333577282.1,0.015482823,2.23E-07,9025674.438
UNO,Unobtanium,0.010938077,0.110872687,8136101.526,0.017297758,1.21E-05,131312.4959
BBR,Boolberry,0.010912437,0.190830535,4549928.435,0.024033019,5.88E-06,68753.3614
SIB,SIBCoin,0.010820501,0.090154092,13684514.74,0.010818613,2.22E-06,253355.292
8BIT,8Bit,0.010792832,0.179944701,229653.768,0.053973174,0.000487851,8382.48895
SWIFT,Bitswift,0.010756441,0.148792172,2583825.102,0.02967014,0.000593916,129194.2865
RADS,Radium,0.010751293,0.100610567,11290438.62,0.034517402,3.14E-06,509934.1625
BTA,Bata,0.010609883,0.19719233,1480566.149,0.035398364,0.000181197,51053.68044
VRC,VeriCoin,0.010524913,0.127799469,8409944.614,0.048788332,4.68E-06,649131.9669
DOT,Dotcoin,0.010485676,0.131803754,1140194.014,0.054085177,1.36E-05,39220.63912
SNRG,Synergy,0.01047579,0.169622158,2578227.934,0.029828497,5.21E-05,88063.2865
TIT,Titcoin,0.01046199,0.241908201,211783.292,0.012381261,0.000502342,1303.066116
HBN,HoboNickels,0.010313879,0.148137623,255659.607,0.013680965,0.001565306,806.4076246
DOGE,Dogecoin,0.010303954,0.088216254,170358882.4,0.043913175,4.17E-08,10925353.28
IXC,Ixcoin,0.010297984,0.199318496,1277262.57,0.003733933,0.003251006,2364.041322
MOIN,Moin,0.010294481,0.153931019,492276.5041,0.016400094,0.000190611,5494.787879
BRK,Breakout,0.010266957,0.142518453,2098539.758,0.021255313,0.000117303,83123.10468
ARG,Argentum,0.010042595,0.270269281,53072.41525,0.005258549,0.004632819,255.1694915
ADC,AudioCoin,0.010025991,0.139684236,1368328.264,0.004228421,0.002833205,5724.082645
XVC,Vcash,0.009911327,0.128375291,5335829.807,0.060030884,2.87E-06,382050.2066
XRA,Ratecoin,0.009875961,0.139360771,104693.1906,0.017780835,0.007895281,1249.674033
PUT,PutinCoin,0.009863352,0.236243159,2690632.642,0.030463756,7.21E-05,19532.55096
FAIR,FairCoin,0.009709766,0.099742248,20100376.12,0.003427208,0.000427839,62506.28375
