Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
25/08/2017,4.378912784,1,11.3481153,12.87632717,40.62668299,28.75265396,7.749463135,28.12911843,83.72709939,23.81146023,23.75862069,33.9291183,284.1209523,4.907365381,78.62848837,8.261588069,34.20665829,1.08203452,0.920233463,0.989384831,1.028019005
26/08/2017,4.359680667,0.998932,11.47450111,13.6179709,40.86658507,37.60474419,9.881889764,35.60552093,87.04302412,24.03737541,24.15517241,33.91578167,272.0651998,6.079017949,78.02122093,8.548166062,33.38206658,1.08203452,0.920233463,0.989384831,1.028019005
27/08/2017,4.390211653,1,13.56097561,13.64490759,42.58139535,45.65814958,9.354330709,32.3143366,96.29998066,23.63072808,25.29310345,33.98765127,282.6404213,5.639983495,79.8375,7.974607013,31.87735553,1.08203452,0.920233463,0.989384831,1.028019005
28/08/2017,4.389991285,1,13.827051,14.19661817,42.56425949,41.99751077,10.40801718,31.77025824,100.030396,23.76627719,29.34482759,34.55865646,271.0781791,5.665772643,80.88866279,8.272873841,35.25565327,1.082561575,0.918287938,1.025260974,1.020628545
29/08/2017,4.586679755,1,14.00665188,13.70703893,45.36964504,40.13391282,9.522548318,32.01691897,96.16181713,24.62475488,32.62068966,34.80587799,237.3079716,5.576645348,82.47587209,8.1031842,34.32223618,1.083473955,0.916342412,1.03642247,1.019520021
30/08/2017,4.572936804,1,14.22838137,13.54836807,46.32680539,39.60145627,9.476020043,32.79964381,101.2738677,24.76030399,46.06896552,35.74166461,233.3598889,5.604291314,85.99331395,8.554615075,35.80496231,1.088474332,0.910505837,1.035625226,1.025801917
31/08/2017,4.711257801,1,15.75609756,13.73505702,46.88372093,47.18896218,10.05082319,33.68833482,100.5830501,26.83872367,42.0862069,36.31217585,233.7828978,5.844646173,98.02703488,9.030632809,40.14290201,1.09470155,0.937743191,1.044394991,1.03134481
1/09/2017,4.900193323,1,19.07760532,14.49331498,47.45899633,49.3187884,10.10737294,35.02671416,100.1685595,25.93506294,41.93103448,41.81995554,225.6752279,6.294821539,96.60174419,9.654977832,39.01994347,1.096871775,0.939040208,1.038814123,1.035039982
2/09/2017,4.586429337,1.02,17.5210643,13.76602438,42.71481028,44.72635061,8.933428776,31.18165628,87.59567824,23.63072808,34.89655172,36.79328229,223.6306851,5.240973798,86.0127907,8.398629585,35.59500628,1.096871775,0.939040208,1.038814123,1.035039982
3/09/2017,4.590626346,1,17.03769401,13.79846638,42.53121175,47.12240511,9.020042949,31.73552983,91.0497665,23.49517897,37.60344828,34.932082,213.7604783,5.365999587,89.32093023,8.583635631,35.93137563,1.096871775,0.939040208,1.038814123,1.035039982
4/09/2017,4.243396472,1.03,14.45898004,11.58051514,36.12851897,39.00244264,7.599856836,28.15048976,79.72035701,21.055295,32.43103448,27.41318844,153.9047243,4.504642047,79.4244186,7.103990326,32.18718593,1.096871775,0.939040208,1.038814123,1.035039982
5/09/2017,4.383851031,1,15.80709534,12.81154149,38.30966952,40.46669817,8.505368647,29.13891362,83.3126088,22.50115217,33.56896552,30.15164238,160.7433676,4.680833505,83.20552326,7.483675937,33.79224246,1.088589486,0.944228275,1.058745384,1.032453412
